(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B01MZ46YXY,B00PSM7F1M,Chub Suit Inflatable Teen Costume (Purple),chubsuitcostume001Teen-Purple,27,1,0.01%,0.03%,32,1,0.01%,0.02%,90.63%,0.00%,1,0,3.70%,0.00%,$38.95,$0.00,1,0
B07BTQMBR5,B00PV0Q6ES,Top Gun Distressed Logo Off The Shoulder Gray Juniors Sweatshirt (Small),topgun021-S,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$34.95,$0.00,1,0
B07CGVRC6V,B00Q7ALQXM,Doctor Who Tardis Sound Activated LED Light Up Adult T-Shirt (Adult Large) Black,drwho063-L,8,0,0.00%,0.00%,8,0,0.00%,0.00%,62.50%,0.00%,1,0,12.50%,0.00%,$16.95,$0.00,1,0
B07CR8WJT2,B00R20GEY2,On The Prowl Adult Smoke Black T-Shirt (Adult X-Large),looneytunes028-XL,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,$14.95,$0.00,1,0
B00S5H3TBW,B00S5H5OLU,Junk Food Star Wars Adult Heather Gray T-Shirt (Adult Medium),starwars111-M,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$22.00,$0.00,1,0
B07CJZBPKP,B00TKRYA6O,Beagle Boys 176-617 Adult Red T-Shirt (Adult Medium),beagleboys001-M,3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,3,0,100.00%,0.00%,$59.85,$0.00,1,0
B07CJZBPKP,B00TKRYAT6,Beagle Boys 176-617 Adult Red T-Shirt (Adult Large),beagleboys001-L,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,1,0,100.00%,0.00%,$19.95,$0.00,1,0
B00TQ8EZ0S,B00TQ8F80O,Teenage Mutant Ninja Turtles Boxes Shellfie Juniors T-Shirt (Large) Heather Gray,tmnt082-L,5,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$12.95,$0.00,1,0
B07C1SBVWV,B00TYVOOE4,Bob's Burgers Smart Strong Sensual Juniors Black T-Shirt (Juniors Medium),bobsburgers007-M,1,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$20.00,$0.00,1,0
B01MXGOAVH,B00U0HHBI2,Ripple Junction Family Christmas Sweaters - Red and Black Vacation Fun Old Fashioned Family Xmas Ugly Christmas Sweater for Women or Men | Crew Neck Knitted Eggnog Moose Mug Winter Holiday Sweater,CVSM2258-MooseHead-M,48,0,0.02%,0.00%,55,0,0.01%,0.00%,100.00%,0.00%,1,0,2.08%,0.00%,$49.95,$0.00,1,0
B01MXGOAVH,B00U0HHGZ0,Ripple Junction Family Christmas Sweaters - Red and Black Vacation Fun Old Fashioned Family Xmas Ugly Christmas Sweater for Women or Men | Crew Neck Knitted Eggnog Moose Mug Winter Holiday Sweater,CVSM2258-MooseHead-XL,133,0,0.04%,0.00%,163,0,0.04%,0.00%,98.76%,0.00%,1,0,0.75%,0.00%,$49.95,$0.00,1,0
B01MXGOAVH,B00U0HHGZ0,Ripple Junction Family Christmas Sweaters - Red and Black Vacation Fun Old Fashioned Family Xmas Ugly Christmas Sweater for Women or Men | Crew Neck Knitted Eggnog Moose Mug Winter Holiday Sweater,CVSM2258-MooseHead-FBA-XL,133,0,0.04%,0.00%,163,0,0.04%,0.00%,98.76%,0.00%,1,0,0.75%,0.00%,$49.95,$0.00,1,0
B01MXGOAVH,B00U0HHJ1Q,Ripple Junction Family Christmas Sweaters - Red and Black Vacation Fun Old Fashioned Family Xmas Ugly Christmas Sweater for Women or Men | Crew Neck Knitted Eggnog Moose Mug Winter Holiday Sweater,CVSM2258-MooseHead-FBA-2XL,46,0,0.02%,0.00%,51,0,0.01%,0.00%,97.92%,0.00%,1,0,2.17%,0.00%,$49.95,$0.00,1,0
B06ZY1Z4SF,B00U0HJJ0A,Ripple Junction Caddyshack Bushwood Country Club Heather Red T-Shirt (Adult Small),caddy010-S,13,0,0.00%,0.00%,14,0,0.00%,0.00%,100.00%,0.00%,1,0,7.69%,0.00%,$19.95,$0.00,1,0
B072333CSS,B00U0HOHEI,Luke's Diner Gilmore Girls Navy T-Shirt (Juniors 2X),gilmoregirls001-2X,68,1,0.02%,0.03%,85,1,0.02%,0.02%,98.82%,100.00%,4,0,5.88%,0.00%,$59.80,$0.00,1,0
B07ZQM86WS,B00U0HOQ2Q,Ripple Junction The Office Dunder Mifflin Blue Ugly Christmas Sweater (Large),OESM2439TV-DunderMifflinSweater-L,20,0,0.01%,0.00%,23,0,0.01%,0.00%,95.45%,0.00%,1,0,5.00%,0.00%,$39.95,$0.00,1,0
B07ZQM86WS,B00U0HOTSW,Ripple Junction The Office Dunder Mifflin Blue Ugly Christmas Sweater (XX-Large),OESM2439TV-DunderMifflinSweater-XXL,8,0,0.00%,0.00%,10,0,0.00%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,$39.95,$0.00,1,0
B00U0HVR7S,B00U0HVR7S,Seinfeld Festivus for The Rest of Us Pole Cream Ugly Christmas Sweater Long Sleeve(Adult Medium),uglysweater60-M,9,0,0.00%,0.00%,11,0,0.00%,0.00%,90.91%,0.00%,1,0,11.11%,0.00%,$49.95,$0.00,1,0
B072Y9LPX3,B00U0HXYX8,Ripple Junction Hooters Girl Classic Waitress Role Play Costume Uniform Outfit w/Tank Top Shorts Adult Women's SM Orange White,HJCO2021-HootersCostumeSet-S,"2,408",25,0.80%,0.77%,"3,092",28,0.79%,0.65%,0.80%,0.00%,1,0,0.04%,0.00%,$49.95,$0.00,1,0
B072Y9LPX3,B00U0HY34W,Ripple Junction Hooters Girl Classic Waitress Role Play Costume Uniform Outfit w/Tank Top Shorts Adult Women's Large Orange White,HJCO2021-HootersCostumeSet-L,"1,414",21,0.47%,0.64%,"1,752",30,0.45%,0.70%,6.65%,28.57%,1,0,0.07%,0.00%,$49.95,$0.00,1,0
B07771937D,B00U0HYPE0,Bobs Burgers Louise Appreciate Your Lack of Sarcasm Christmas Sweater (Adult 3X-Large),BQSM3410TV-BobsBurgersLouise-3XL,16,0,0.01%,0.00%,17,0,0.00%,0.00%,100.00%,0.00%,1,0,6.25%,0.00%,$44.99,$0.00,1,0
B0BZJN2CBB,B00U0I6MOU,Ripple Junction Krampus Knit Ugly Christmas Sweater Black,KRSM2011-KrampusSweater-XL,46,0,0.02%,0.00%,55,0,0.01%,0.00%,100.00%,0.00%,1,0,2.17%,0.00%,$59.95,$0.00,1,0
B0BZJN2CBB,B00U0I6T7K,Ripple Junction Krampus Knit Ugly Christmas Sweater Black,KRSM2011-KrampusSweater-3XL,30,0,0.01%,0.00%,38,0,0.01%,0.00%,91.89%,0.00%,1,0,3.33%,0.00%,$59.95,$0.00,1,0
B07BVH2DSR,B00W2AFWBI,Ripple Junction Rick and Morty 20% Accurate As Usual Adult T-Shirt Large Black,rickmorty003-L,27,0,0.01%,0.00%,34,0,0.01%,0.00%,92.86%,0.00%,1,0,3.70%,0.00%,$19.95,$0.00,1,0
B07BYKQYYJ,B00WNGNWL8,Step Brothers It's Better in The Bahamas Adult T-Shirt (Adult XX-Large) Turquoise Green,stepbros012-XXL,11,1,0.00%,0.03%,15,1,0.00%,0.02%,93.33%,100.00%,2,0,18.18%,0.00%,$39.90,$0.00,1,0
B00WTGAOPY,B00WTGAZF8,USA American Flag Cape (Adult),americanflagcape001-adult,17,0,0.01%,0.00%,18,0,0.00%,0.00%,94.44%,0.00%,1,0,5.88%,0.00%,$11.99,$0.00,1,0
B00Y3EBJM2,B00Y3EBMTC,Fast N Loud Gas Monkey Garage Sleeveless Shirt (Adult Small) Black,gasmonkeygarage001-S,75,0,0.02%,0.00%,88,0,0.02%,0.00%,97.73%,0.00%,1,0,1.33%,0.00%,$39.99,$0.00,1,0
B00Y3EBJM2,B00Y3EBQEI,Fast N Loud Gas Monkey Garage Sleeveless Shirt (Adult Medium) Black,gasmonkeygarage001-M,13,0,0.00%,0.00%,19,0,0.00%,0.00%,78.95%,0.00%,1,0,7.69%,0.00%,$39.99,$0.00,1,0
B00YQ4DRBU,B00YQ4DXE6,Silicon Valley I Know HTML How to Meet Ladies Forest Green T-Shirt (Adult XX-Large),siliconvalley003-XXL,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$19.95,$0.00,1,0
B00YQ4DRBU,B00YQ4DYIG,Silicon Valley I Know HTML How to Meet Ladies Forest Green T-Shirt (Adult XXX-Large),siliconvalley003-XXXL,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$19.95,$0.00,1,0
B0921M6DNW,B00YQ4SCEW,Impact Aerosmith Aero Force Men's White Short Sleeve Tee,aerosmith002-FBA-S,423,4,0.14%,0.12%,514,4,0.13%,0.09%,1.80%,0.00%,1,0,0.24%,0.00%,$25.95,$0.00,1,0
B07CH3TYY6,B00YYVLYLA,Silicon Valley Erlich Bachman Aviato Logo Light Blue T-Shirt (Adult XX-Large),siliconvalley005-XXL,12,0,0.00%,0.00%,18,0,0.00%,0.00%,93.33%,0.00%,1,0,8.33%,0.00%,$19.95,$0.00,1,0
B07CH3TYY6,B00YYVM4HS,Silicon Valley Erlich Bachman Aviato Logo Light Blue T-Shirt (Adult Medium),siliconvalley005-M,14,0,0.00%,0.00%,26,0,0.01%,0.00%,100.00%,0.00%,1,0,7.14%,0.00%,$19.95,$0.00,1,0
B01HBXTOM8,B00ZGN34M2,Dodgeball Globo Gym Purple Cobras Black T-Shirt (Adult XX-Large),dodgeball008-XXL,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,$21.95,$0.00,1,0
